_id,_key,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
stops/10787,10787,10787,NE Sandy & 133rd,northeast sandy & 133rd,Eastbound stop in Portland (Stop ID 10787),45.554945,-122.525173,B,http://trimet.org/#tracker/stop/10787,0,,East,Farside
stops/10788,10788,10788,NE Sandy & 138th,northeast sandy & 138th,Eastbound stop in Portland (Stop ID 10788),45.554119,-122.5205,B,http://trimet.org/#tracker/stop/10788,0,,East,Farside
stops/10789,10789,10789,14300 Block NE Sandy,14300 block northeast sandy,Eastbound stop in Portland (Stop ID 10789),45.552788,-122.513004,B,http://trimet.org/#tracker/stop/10789,0,,East,At
stops/10790,10790,10790,NE Sandy & 148th,northeast sandy & 148th,Eastbound stop in Portland (Stop ID 10790),45.552337,-122.510506,B,http://trimet.org/#tracker/stop/10790,0,,East,Nearside
stops/10791,10791,10791,W Burnside & NW 10th,west burnside & northwest 10th,Westbound stop in Portland (Stop ID 10791),45.523037,-122.681435,B,http://trimet.org/#tracker/stop/10791,0,,West,Farside
stops/10792,10792,10792,W Burnside & SW 10th,west burnside & southwest 10th,Eastbound stop in Portland (Stop ID 10792),45.522905,-122.681294,B,http://trimet.org/#tracker/stop/10792,0,,East,Nearside
stops/10793,10793,10793,NE Sandy & 38th,northeast sandy & 38th,Eastbound stop in Portland (Stop ID 10793),45.534366,-122.623829,B,http://trimet.org/#tracker/stop/10793,0,,East,Opposite
stops/10795,10795,10795,NE Sandy & 74th,northeast sandy & 74th,Eastbound stop in Portland (Stop ID 10795),45.549183,-122.586501,B,http://trimet.org/#tracker/stop/10795,0,,East,Farside
stops/10801,10801,10801,7500 Block SW 45th,seventy-five-hundred block southwest 45th,Southbound stop in Portland (Stop ID 10801),45.47038,-122.723235,B,http://trimet.org/#tracker/stop/10801,0,,South,At
stops/10808,10808,10808,NW Thurman & 24th,northwest thurman & 24th,Eastbound stop in Portland (Stop ID 10808),45.535396,-122.700964,B,http://trimet.org/#tracker/stop/10808,0,,East,Nearside
stops/10809,10809,10809,W Burnside & NW 17th,west burnside & northwest 17th,Westbound stop in Portland (Stop ID 10809),45.522985,-122.688091,B,http://trimet.org/#tracker/stop/10809,0,,West,Nearside
stops/10820,10820,10820,NE Prescott & 89th,northeast prescott & 89th,Westbound stop in Portland (Stop ID 10820),45.555894,-122.571216,B,http://trimet.org/#tracker/stop/10820,0,,West,Nearside
stops/10821,10821,10821,NW Eastman & Burnside,northwest eastman & burnside,Northbound stop in Gresham (Stop ID 10821),45.5103,-122.434201,B,http://trimet.org/#tracker/stop/10821,0,,North,Farside
stops/10822,10822,10822,NE Sandy & 148th,northeast sandy & 148th,Westbound stop in Portland (Stop ID 10822),45.552443,-122.510045,B,http://trimet.org/#tracker/stop/10822,0,,West,Nearside
stops/10823,10823,10823,NE Sandy & 138th,northeast sandy & 138th,Westbound stop in Portland (Stop ID 10823),45.554403,-122.520926,B,http://trimet.org/#tracker/stop/10823,0,,West,Nearside
stops/10824,10824,10824,14300 Block NE Sandy,14300 block northeast sandy,Westbound stop in Portland (Stop ID 10824),45.553157,-122.514135,B,http://trimet.org/#tracker/stop/10824,0,,West,Opposite
stops/10825,10825,10825,NE Sandy & 133rd,northeast sandy & 133rd,Westbound stop in Portland (Stop ID 10825),45.555197,-122.525707,B,http://trimet.org/#tracker/stop/10825,0,,West,Opposite
stops/10826,10826,10826,NE Sandy & 131st Pl,northeast sandy & 131st place,Westbound stop in Portland (Stop ID 10826),45.555809,-122.529153,B,http://trimet.org/#tracker/stop/10826,0,,West,Farside
stops/10827,10827,10827,NE Sandy & 125th Pl,northeast sandy & 125th place,Westbound stop in Portland (Stop ID 10827),45.556619,-122.533684,B,http://trimet.org/#tracker/stop/10827,0,,West,Opposite
stops/10828,10828,10828,NE Sandy & 118th,northeast sandy & 118th,Westbound stop in Portland (Stop ID 10828),45.557756,-122.54169,B,http://trimet.org/#tracker/stop/10828,0,,West,Farside
stops/10829,10829,10829,NE Sandy & 115th,northeast sandy & 115th,Westbound stop in Portland (Stop ID 10829),45.558014,-122.544351,B,http://trimet.org/#tracker/stop/10829,0,,West,Opposite
stops/10830,10830,10830,NE Sandy & 112th,northeast sandy & 112th,Westbound stop in Portland (Stop ID 10830),45.558267,-122.547158,B,http://trimet.org/#tracker/stop/10830,0,,West,Nearside
stops/10831,10831,10831,NE Sandy & 109th,northeast sandy & 109th,Westbound stop in Portland (Stop ID 10831),45.558627,-122.55099,B,http://trimet.org/#tracker/stop/10831,0,,West,Farside
stops/10832,10832,10832,NE Sandy & 107th,northeast sandy & 107th,Westbound stop in Portland (Stop ID 10832),45.558809,-122.552907,B,http://trimet.org/#tracker/stop/10832,0,,West,Opposite
stops/10834,10834,10834,NE Sandy & 44th,northeast sandy & 44th,Westbound stop in Portland (Stop ID 10834),45.536976,-122.61823,B,http://trimet.org/#tracker/stop/10834,0,,West,Farside
stops/10835,10835,10835,SE Eagle Creek Rd & Duus Rd,southeast eagle creek road & duce road,Southbound stop in Clackamas Co. (Stop ID 10835),45.315233,-122.343385,B,http://trimet.org/#tracker/stop/10835,0,,South,Opposite
stops/10836,10836,10836,SE Eagle Creek Rd & Duus Rd,southeast eagle creek road & duce road,Northbound stop in Clackamas Co. (Stop ID 10836),45.315369,-122.343047,B,http://trimet.org/#tracker/stop/10836,0,,North,Farside
stops/10838,10838,10838,NE 102nd & Prescott,northeast 102nd & prescott,Southbound stop in Portland (Stop ID 10838),45.555513,-122.5579,B,http://trimet.org/#tracker/stop/10838,0,,South,Nearside
stops/10840,10840,10840,NE 102nd & Shaver,northeast 102nd & shaver,Southbound stop in Maywood Park (Stop ID 10840),45.552073,-122.557968,B,http://trimet.org/#tracker/stop/10840,0,,South,Nearside
stops/10842,10842,10842,NE 102nd & Prescott,northeast 102nd & prescott,Northbound stop in Portland (Stop ID 10842),45.555276,-122.557637,B,http://trimet.org/#tracker/stop/10842,0,,North,Nearside
stops/10844,10844,10844,SW Barbur & Spring Garden,southwest barbur & spring garden,Westbound stop in Portland (Stop ID 10844),45.463752,-122.701299,B,http://trimet.org/#tracker/stop/10844,0,,West,Opposite
stops/10845,10845,10845,SW Barbur & Huber,southwest barbur & huber,Westbound stop in Portland (Stop ID 10845),45.452942,-122.723053,B,http://trimet.org/#tracker/stop/10845,0,,West,Nearside
stops/10846,10846,10846,NE Jonesmore & 82nd,northeast jonesmore & 82nd,Westbound stop in Portland (Stop ID 10846),45.534031,-122.578772,B,http://trimet.org/#tracker/stop/10846,0,,West,Nearside
stops/10848,10848,10848,SW Barbur & Bertha,southwest barbur & bertha,Eastbound stop in Portland (Stop ID 10848),45.470622,-122.688578,B,http://trimet.org/#tracker/stop/10848,0,,East,Nearside
stops/10849,10849,10849,SW Barbur & 26th Way,southwest barbur & 26th way,Eastbound stop in Portland (Stop ID 10849),45.461082,-122.705448,B,http://trimet.org/#tracker/stop/10849,0,,East,At
