_from,_to,transfer_type
stops/2296,stops/9185,0
stops/2317,stops/4434,0
stops/2317,stops/4435,0
stops/2341,stops/2341,0
stops/2341,stops/2342,0
stops/2342,stops/2341,0
stops/2343,stops/2343,0
stops/2354,stops/6513,0
stops/2354,stops/6531,0
stops/2354,stops/10747,0
stops/2356,stops/2356,0
stops/2358,stops/6565,0
stops/2364,stops/2365,0
stops/2364,stops/2367,0
stops/2365,stops/2364,0
stops/2366,stops/6617,0
stops/2366,stops/6628,0
stops/2366,stops/9642,0
stops/2367,stops/2364,0
stops/2367,stops/6617,0
stops/2367,stops/6628,0
stops/2367,stops/9642,0
stops/2395,stops/13946,0
stops/2395,stops/13968,0
stops/2396,stops/13946,0
stops/2396,stops/13968,0
stops/2401,stops/8580,0
stops/2401,stops/8581,0
stops/2420,stops/2420,0
stops/2420,stops/2421,0
stops/2420,stops/13594,0
stops/2421,stops/2420,0
stops/2421,stops/13594,0
stops/2432,stops/2432,0
stops/2432,stops/2434,0
stops/2434,stops/2432,0
stops/2434,stops/2434,0
stops/2438,stops/2434,0
stops/2439,stops/2434,0
stops/2460,stops/8119,0
stops/2466,stops/2467,0
stops/2467,stops/1519,0
stops/2467,stops/2466,0
stops/2467,stops/2467,0
stops/2512,stops/13128,0
stops/2512,stops/13135,0
stops/2534,stops/6633,0
stops/2534,stops/6634,0
stops/2535,stops/6633,0
stops/2535,stops/6634,0
stops/2541,stops/7690,0
stops/2541,stops/7691,0
stops/2542,stops/7690,0
stops/2542,stops/7691,0
stops/2563,stops/13128,0
stops/2563,stops/13135,0
stops/2566,stops/12375,0
stops/2566,stops/12382,0
stops/2567,stops/12375,0
stops/2567,stops/12382,0
stops/2568,stops/2568,0
stops/2568,stops/2573,0
stops/2573,stops/2568,0
stops/2574,stops/2574,0
stops/2574,stops/2575,0
stops/2574,stops/8894,0
stops/2575,stops/2574,0
stops/2580,stops/616,0
stops/2580,stops/2580,0
stops/2580,stops/7602,0
stops/2580,stops/7616,0
stops/2580,stops/7618,0
stops/2580,stops/10491,0
stops/2592,stops/1097,0
stops/2592,stops/2592,0
stops/2592,stops/8340,0
stops/2592,stops/8377,0
stops/2592,stops/11507,0
stops/2592,stops/11508,0
stops/2592,stops/11813,0
stops/2592,stops/11814,0
stops/2592,stops/11817,0
stops/2594,stops/2594,0
stops/2594,stops/13614,0
stops/2594,stops/13616,0
stops/2599,stops/2599,0
stops/2599,stops/3303,0
stops/2599,stops/3637,0
stops/2599,stops/6543,0
stops/2599,stops/6551,0
stops/2599,stops/6576,0
stops/2599,stops/6585,0
stops/2625,stops/7459,0
stops/2625,stops/7460,0
stops/2626,stops/7459,0
stops/2626,stops/7460,0
stops/2642,stops/2642,0
stops/2672,stops/2672,0
stops/2672,stops/8181,0
stops/2672,stops/9845,0
stops/2672,stops/9846,0
stops/2672,stops/9954,0
stops/2672,stops/9955,0
stops/2672,stops/9956,0
stops/2685,stops/2685,0
stops/2703,stops/6635,0
stops/2703,stops/6636,0
stops/2705,stops/2705,0
stops/2705,stops/6635,0
stops/2705,stops/6636,0
stops/2714,stops/7281,0
stops/2714,stops/7282,0
stops/2715,stops/7281,0
stops/2715,stops/7282,0
stops/2726,stops/7463,0
stops/2726,stops/7474,0
stops/2727,stops/7463,0
stops/2727,stops/7474,0
stops/2738,stops/7692,0
stops/2738,stops/7693,0
stops/2739,stops/7692,0
stops/2739,stops/7693,0
stops/2746,stops/1778,0
stops/2746,stops/10196,0
stops/2747,stops/1778,0
stops/2747,stops/10196,0
stops/2748,stops/1778,0
stops/2762,stops/7984,0
stops/2762,stops/7986,0
stops/2763,stops/7984,0
stops/2763,stops/7986,0
stops/2816,stops/13932,0
stops/2817,stops/7876,0
stops/2817,stops/7894,0
stops/2818,stops/7876,0
stops/2818,stops/7894,0
stops/2838,stops/2838,0
stops/2908,stops/2908,0
stops/2908,stops/2909,0
stops/2909,stops/2908,0
stops/2909,stops/2909,0
stops/2914,stops/8079,0
stops/2914,stops/8086,0
stops/2915,stops/8079,0
stops/2915,stops/8086,0
stops/2945,stops/2945,0
stops/2945,stops/11506,0
stops/2945,stops/11509,0
stops/2945,stops/11839,0
stops/3008,stops/3008,0
stops/3008,stops/8480,0
stops/3008,stops/11837,0
stops/3039,stops/3039,0
stops/3039,stops/3049,0
stops/3039,stops/7767,0
stops/3039,stops/13123,0
stops/3049,stops/1108,0
stops/3049,stops/3049,0
stops/3049,stops/6493,0
stops/3049,stops/10759,0
stops/3049,stops/10760,0
stops/3049,stops/10765,0
stops/3051,stops/10759,0
stops/3051,stops/10760,0
stops/3052,stops/1114,0
stops/3052,stops/3052,0
stops/3052,stops/12792,0
stops/3054,stops/1114,0
stops/3054,stops/10117,0
stops/3054,stops/10118,0
stops/3054,stops/12792,0
stops/3079,stops/3079,0
stops/3080,stops/3080,0
stops/3082,stops/3082,0
stops/3092,stops/3092,0
stops/3092,stops/3093,0
stops/3093,stops/3092,0
stops/3093,stops/3093,0
stops/3094,stops/13031,0
stops/3100,stops/3100,0
stops/3101,stops/3100,0
stops/3127,stops/1230,0
stops/3127,stops/3127,0
stops/3138,stops/3137,0
stops/3138,stops/3138,0
stops/3141,stops/3141,0
stops/3141,stops/10305,0
stops/3153,stops/88,0
stops/3153,stops/89,0
stops/3154,stops/88,0
stops/3154,stops/89,0
stops/3167,stops/2208,0
stops/3167,stops/2209,0
stops/3169,stops/11503,0
stops/3169,stops/11512,0
stops/3170,stops/11503,0
stops/3170,stops/11512,0
stops/3183,stops/3184,0
stops/3183,stops/5996,0
stops/3184,stops/3183,0
stops/3184,stops/3184,0
stops/3184,stops/5996,0
stops/3191,stops/7382,0
stops/3191,stops/7383,0
stops/3192,stops/7382,0
stops/3192,stops/7383,0
stops/3199,stops/7519,0
stops/3199,stops/7520,0
stops/3200,stops/7519,0
stops/3200,stops/7520,0
stops/3228,stops/7918,0
stops/3228,stops/7990,0
stops/3229,stops/3229,0
stops/3229,stops/3230,0
stops/3229,stops/8457,0
stops/3230,stops/3229,0
stops/3230,stops/8457,0
stops/3234,stops/3234,0
stops/3234,stops/3235,0
stops/3234,stops/13783,0
stops/3234,stops/13784,0
stops/3235,stops/3234,0
stops/3235,stops/13783,0
stops/3235,stops/13784,0
stops/3301,stops/1341,0
stops/3301,stops/1435,0
stops/3302,stops/1341,0
stops/3302,stops/1435,0
stops/3303,stops/2599,0
stops/3315,stops/3315,0
stops/3328,stops/8156,0
stops/3328,stops/13985,0
stops/3329,stops/3329,0
stops/3329,stops/8156,0
stops/3329,stops/13985,0
stops/3335,stops/3336,0
stops/3335,stops/4161,0
stops/3336,stops/3335,0
stops/3336,stops/3352,0
stops/3339,stops/3339,0
stops/3339,stops/3340,0
stops/3340,stops/3340,0
stops/3352,stops/3336,0
stops/3352,stops/4161,0
stops/3363,stops/8207,0
stops/3363,stops/8208,0
stops/3367,stops/3367,0
stops/3367,stops/9544,0
stops/3397,stops/13710,0
stops/3398,stops/3397,0
stops/3398,stops/13729,0
stops/3452,stops/90,0
stops/3452,stops/93,0
stops/3453,stops/90,0
stops/3453,stops/93,0
stops/3455,stops/3454,0
stops/3455,stops/3455,0
stops/3474,stops/3474,0
stops/3474,stops/3509,0
stops/3506,stops/3506,0
stops/3506,stops/3507,0
stops/3506,stops/11501,0
stops/3506,stops/11514,0
stops/3507,stops/3506,0
stops/3507,stops/3507,0
stops/3507,stops/11501,0
stops/3507,stops/11514,0
stops/3509,stops/3474,0
stops/3509,stops/3509,0
stops/3535,stops/3535,0
stops/3537,stops/4494,0
stops/3537,stops/4495,0
stops/3538,stops/4494,0
stops/3538,stops/4495,0
stops/3557,stops/5950,0
stops/3563,stops/4437,0
stops/3582,stops/8491,0
stops/3595,stops/7121,0
stops/3595,stops/7122,0
stops/3603,stops/1129,0
stops/3603,stops/1147,0
stops/3604,stops/1129,0
stops/3604,stops/1147,0
stops/3620,stops/3622,0
stops/3622,stops/3620,0
stops/3633,stops/2170,0
stops/3633,stops/3633,0
stops/3633,stops/13614,0
stops/3633,stops/13616,0
stops/3635,stops/3635,0
stops/3637,stops/2599,0
stops/3637,stops/3637,0
stops/3637,stops/6551,0
stops/3637,stops/6576,0
stops/3637,stops/6585,0
stops/3639,stops/3639,0
stops/3639,stops/5020,0
stops/3639,stops/7594,0
stops/3639,stops/7608,0
stops/3639,stops/7612,0
stops/3639,stops/7765,0
stops/3639,stops/7767,0
stops/3639,stops/11486,0
stops/3639,stops/12787,0
stops/3639,stops/12790,0
stops/3639,stops/12791,0
stops/3639,stops/12793,0
stops/3639,stops/12794,0
stops/3639,stops/13123,0
stops/3639,stops/13167,0
stops/3655,stops/3655,0
stops/3655,stops/3669,0
stops/3655,stops/3673,0
stops/3656,stops/3656,0
stops/3656,stops/5846,0
stops/3656,stops/8209,0
stops/3656,stops/8210,0
stops/3656,stops/8211,0
stops/3669,stops/3673,0
stops/3669,stops/10873,0
stops/3673,stops/3655,0
stops/3673,stops/3669,0
stops/3673,stops/3673,0
stops/3673,stops/10873,0
stops/3791,stops/3791,0
stops/3791,stops/3839,0
stops/3795,stops/3795,0
stops/3795,stops/3843,0
stops/3825,stops/3825,0
stops/3839,stops/3791,0
stops/3839,stops/3839,0
stops/3843,stops/3795,0
stops/3843,stops/3843,0
stops/3846,stops/3846,0
stops/3868,stops/3868,0
stops/3908,stops/3908,0
stops/3990,stops/3990,0
stops/4014,stops/6542,0
stops/4014,stops/6588,0
stops/4032,stops/4032,0
stops/4036,stops/4036,0
stops/4042,stops/4043,0
