_id,route_id,service_id,_key,direction_id,block_id,shape_id,trip_type,wheelchair_accessible
trips/8931582,2,U.535,8931582,0,242,406699,,1
trips/8931583,2,U.535,8931583,0,243,406699,,1
trips/8931584,2,U.535,8931584,0,244,406699,,1
trips/8931585,2,U.535,8931585,0,234,406699,,1
trips/8931586,2,U.535,8931586,0,235,406699,,1
trips/8931587,2,U.535,8931587,0,236,406699,,1
trips/8931588,2,U.535,8931588,0,237,406699,,1
trips/8931589,2,U.535,8931589,0,238,406699,,1
trips/8931590,2,U.535,8931590,0,239,406699,,1
trips/8931591,2,U.535,8931591,0,240,406699,,1
trips/8931592,2,U.535,8931592,0,241,406699,,1
trips/8931593,2,U.535,8931593,0,242,406699,,1
trips/8931594,2,U.535,8931594,0,243,406698,,1
trips/8931595,2,U.535,8931595,0,244,406699,,1
trips/8931596,2,U.535,8931596,0,234,406699,,1
trips/8931597,2,U.535,8931597,0,235,406699,,1
trips/8931598,2,U.535,8931598,0,236,406698,,1
trips/8931599,2,U.535,8931599,0,237,406699,,1
trips/8931600,2,U.535,8931600,0,238,406699,,1
trips/8931601,2,U.535,8931601,0,239,406698,,1
trips/8931602,2,U.535,8931602,0,240,406699,,1
trips/8931603,2,U.535,8931603,0,241,406699,,1
trips/8931604,2,U.535,8931604,0,242,406699,,1
trips/8931605,2,U.535,8931605,0,937,406698,,1
trips/8931606,2,U.535,8931606,0,244,406699,,1
trips/8931607,2,U.535,8931607,0,234,406698,,1
trips/8931608,2,U.535,8931608,0,235,406699,,1
trips/8931609,2,U.535,8931609,0,237,406698,,1
trips/8931610,2,U.535,8931610,0,238,406699,,1
trips/8931611,2,U.535,8931611,0,240,406698,,1
trips/8931612,2,U.535,8931612,0,241,406699,,1
trips/8931613,2,U.535,8931613,0,242,406698,,1
trips/8931614,2,U.535,8931614,0,244,406699,,1
trips/8931615,2,U.535,8931615,0,235,406698,,1
trips/8931616,2,U.535,8931616,0,238,406698,,1
trips/8931617,2,U.535,8931617,0,244,406698,,1
trips/8931618,2,W.535,8931618,0,244,406699,,1
trips/8931619,2,W.535,8931619,0,236,406699,,1
trips/8931620,2,W.535,8931620,0,238,406699,,1
trips/8931621,2,W.535,8931621,0,239,406699,,1
trips/8931622,2,W.535,8931622,0,240,406699,,1
trips/8931623,2,W.535,8931623,0,252,406698,,1
trips/8931624,2,W.535,8931624,0,242,406699,,1
trips/8931625,2,W.535,8931625,0,243,406699,,1
trips/8931626,2,W.535,8931626,0,258,406698,,1
trips/8931627,2,W.535,8931627,0,201,406699,,1
trips/8931628,2,W.535,8931628,0,244,406699,,1
trips/8931629,2,W.535,8931629,0,264,406698,,1
trips/8931630,2,W.535,8931630,0,245,406699,,1
trips/8931631,2,W.535,8931631,0,234,406699,,1
trips/8931632,2,W.535,8931632,0,235,406699,,1
trips/8931633,2,W.535,8931633,0,236,406699,,1
trips/8931634,2,W.535,8931634,0,237,406699,,1
trips/8931635,2,W.535,8931635,0,238,406699,,1
trips/8931636,2,W.535,8931636,0,239,406699,,1
trips/8931637,2,W.535,8931637,0,240,406699,,1
trips/8931638,2,W.535,8931638,0,241,406699,,1
trips/8931639,2,W.535,8931639,0,242,406699,,1
trips/8931640,2,W.535,8931640,0,243,406699,,1
trips/8931641,2,W.535,8931641,0,201,406699,,1
trips/8931642,2,W.535,8931642,0,244,406699,,1
trips/8931643,2,W.535,8931643,0,245,406699,,1
trips/8931644,2,W.535,8931644,0,234,406699,,1
trips/8931645,2,W.535,8931645,0,235,406699,,1
trips/8931646,2,W.535,8931646,0,236,406699,,1
trips/8931647,2,W.535,8931647,0,237,406699,,1
trips/8931648,2,W.535,8931648,0,238,406699,,1
trips/8931649,2,W.535,8931649,0,239,406699,,1
trips/8931650,2,W.535,8931650,0,240,406699,,1
trips/8931651,2,W.535,8931651,0,241,406699,,1
